mese,denominazione_regione,codice_regione,lat,long,notifiche_inviate,utenti_positivi
2021-07-31 00:01:00,Abruzzo,13,42.4564388275,13.871007975,96,57
2021-07-31 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,199,62
2021-07-31 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,-1,-1
2021-07-31 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,355,124
2021-07-31 00:01:00,Lazio,12,41.964455604,12.74106344,327,16
2021-07-31 00:01:00,Puglia,16,40.88008174833333,17.009317835,136,21
2021-08-31 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,566,255
2021-08-31 00:01:00,Umbria,10,42.833735495,12.51746724,68,40
2021-08-31 00:01:00,Sicilia,19,37.57610475888889,14.274259175555555,715,1266
2021-08-31 00:01:00,Toscana,9,43.627712522,10.895122839999999,506,286
2021-08-31 00:01:00,Basilicata,17,40.653491145000004,16.20153638,27,24
2021-08-31 00:01:00,Abruzzo,13,42.4564388275,13.871007975,170,107
2021-08-31 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,-1,-1
2021-08-31 00:01:00,P.A. Trento,4,46.06893511,11.12123097,49,6
2021-08-31 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,590,317
2021-08-31 00:01:00,Puglia,16,40.88008174833333,17.009317835,216,52
2021-08-31 00:01:00,Estero,-1,-1.0,-1.0,10,-1
2021-08-31 00:01:00,P.A. Bolzano,4,46.49933453,11.35662422,59,-1
2021-08-31 00:01:00,Molise,14,41.5728779,14.44245729,-1,-1
2021-08-31 00:01:00,Lazio,12,41.964455604,12.74106344,427,39
2021-08-31 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,404,202
2021-08-31 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,81,33
2021-08-31 00:01:00,Campania,15,40.92723816000001,14.583892388,403,84
2021-08-31 00:01:00,Sardegna,20,39.86708044,8.8236011314,264,333
2021-08-31 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,1153,131
2021-08-31 00:01:00,Liguria,7,44.177938535,8.817461962999998,102,47
2021-08-31 00:01:00,Calabria,18,38.812980146,16.344182868,28,-1
2021-08-31 00:01:00,Marche,11,43.368189516,13.436142726,199,103
2021-09-30 00:01:00,P.A. Bolzano,4,46.499334530000006,11.356624219999999,61,-1
2021-09-30 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,322,176
2021-09-30 00:01:00,Abruzzo,13,42.4564388275,13.871007975,78,76
2021-09-30 00:01:00,Calabria,18,38.812980146,16.344182868,33,-1
2021-09-30 00:01:00,Molise,14,41.5728779,14.44245729,-1,-1
2021-09-30 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,-1,-1
2021-09-30 00:01:00,Lazio,12,41.964455604,12.74106344,189,12
2021-09-30 00:01:00,Marche,11,43.368189516,13.436142725999998,106,47
2021-09-30 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,587,66
2021-09-30 00:01:00,Liguria,7,44.177938535,8.817461963,73,27
2021-09-30 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,91,32
2021-09-30 00:01:00,Umbria,10,42.833735495,12.51746724,22,12
2021-09-30 00:01:00,Estero,-1,-1.0,-1.0,19,-1
2021-09-30 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,325,212
2021-09-30 00:01:00,Campania,15,40.92723816,14.583892388,226,47
2021-09-30 00:01:00,Basilicata,17,40.653491145000004,16.20153638,35,23
2021-09-30 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,218,211
2021-09-30 00:01:00,Sicilia,19,37.57610475888889,14.274259175555557,344,712
